scenario,experiment,Global_CCS_Cost,Colombia_Bldg_ShellApplianceEff,Colombia_Population,Colombia_Nuclear,Colombia_GDP,Global_RenewableElecTechCost,Colombia_RPS,Global_EV_Bus,Colombia_IndustrialEff
DDP_XL,0,w/ CCS,Low,Low,Normal,Low,Low,Low,Low,Low
DDP_XL,1,w/ CCS,Low,Low,Normal,Low,Low,Low,Low,High
DDP_XL,2,w/ CCS,Low,Low,Normal,Low,Low,Low,High,Low
DDP_XL,3,w/ CCS,Low,Low,Normal,Low,Low,Low,High,High
DDP_XL,4,w/ CCS,Low,Low,Normal,Low,Low,High,Low,Low
DDP_XL,5,w/ CCS,Low,Low,Normal,Low,Low,High,Low,High
DDP_XL,6,w/ CCS,Low,Low,Normal,Low,Low,High,High,Low
DDP_XL,7,w/ CCS,Low,Low,Normal,Low,Low,High,High,High
DDP_XL,8,w/ CCS,Low,Low,Normal,Low,High,Low,Low,Low
DDP_XL,9,w/ CCS,Low,Low,Normal,Low,High,Low,Low,High
DDP_XL,10,w/ CCS,Low,Low,Normal,Low,High,Low,High,Low
DDP_XL,11,w/ CCS,Low,Low,Normal,Low,High,Low,High,High
DDP_XL,12,w/ CCS,Low,Low,Normal,Low,High,High,Low,Low
DDP_XL,13,w/ CCS,Low,Low,Normal,Low,High,High,Low,High
DDP_XL,14,w/ CCS,Low,Low,Normal,Low,High,High,High,Low
DDP_XL,15,w/ CCS,Low,Low,Normal,Low,High,High,High,High
DDP_XL,16,w/ CCS,Low,Low,Normal,High,Low,Low,Low,Low
DDP_XL,17,w/ CCS,Low,Low,Normal,High,Low,Low,Low,High
DDP_XL,18,w/ CCS,Low,Low,Normal,High,Low,Low,High,Low
DDP_XL,19,w/ CCS,Low,Low,Normal,High,Low,Low,High,High
DDP_XL,20,w/ CCS,Low,Low,Normal,High,Low,High,Low,Low
DDP_XL,21,w/ CCS,Low,Low,Normal,High,Low,High,Low,High
DDP_XL,22,w/ CCS,Low,Low,Normal,High,Low,High,High,Low
DDP_XL,23,w/ CCS,Low,Low,Normal,High,Low,High,High,High
DDP_XL,24,w/ CCS,Low,Low,Normal,High,High,Low,Low,Low
DDP_XL,25,w/ CCS,Low,Low,Normal,High,High,Low,Low,High
DDP_XL,26,w/ CCS,Low,Low,Normal,High,High,Low,High,Low
DDP_XL,27,w/ CCS,Low,Low,Normal,High,High,Low,High,High
DDP_XL,28,w/ CCS,Low,Low,Normal,High,High,High,Low,Low
DDP_XL,29,w/ CCS,Low,Low,Normal,High,High,High,Low,High
DDP_XL,30,w/ CCS,Low,Low,Normal,High,High,High,High,Low
DDP_XL,31,w/ CCS,Low,Low,Normal,High,High,High,High,High
DDP_XL,32,w/ CCS,Low,Low,Zero,Low,Low,Low,Low,Low
DDP_XL,33,w/ CCS,Low,Low,Zero,Low,Low,Low,Low,High
DDP_XL,34,w/ CCS,Low,Low,Zero,Low,Low,Low,High,Low
DDP_XL,35,w/ CCS,Low,Low,Zero,Low,Low,Low,High,High
DDP_XL,36,w/ CCS,Low,Low,Zero,Low,Low,High,Low,Low
DDP_XL,37,w/ CCS,Low,Low,Zero,Low,Low,High,Low,High
DDP_XL,38,w/ CCS,Low,Low,Zero,Low,Low,High,High,Low
DDP_XL,39,w/ CCS,Low,Low,Zero,Low,Low,High,High,High
DDP_XL,40,w/ CCS,Low,Low,Zero,Low,High,Low,Low,Low
DDP_XL,41,w/ CCS,Low,Low,Zero,Low,High,Low,Low,High
DDP_XL,42,w/ CCS,Low,Low,Zero,Low,High,Low,High,Low
DDP_XL,43,w/ CCS,Low,Low,Zero,Low,High,Low,High,High
DDP_XL,44,w/ CCS,Low,Low,Zero,Low,High,High,Low,Low
DDP_XL,45,w/ CCS,Low,Low,Zero,Low,High,High,Low,High
DDP_XL,46,w/ CCS,Low,Low,Zero,Low,High,High,High,Low
DDP_XL,47,w/ CCS,Low,Low,Zero,Low,High,High,High,High
DDP_XL,48,w/ CCS,Low,Low,Zero,High,Low,Low,Low,Low
DDP_XL,49,w/ CCS,Low,Low,Zero,High,Low,Low,Low,High
DDP_XL,50,w/ CCS,Low,Low,Zero,High,Low,Low,High,Low
DDP_XL,51,w/ CCS,Low,Low,Zero,High,Low,Low,High,High
DDP_XL,52,w/ CCS,Low,Low,Zero,High,Low,High,Low,Low
DDP_XL,53,w/ CCS,Low,Low,Zero,High,Low,High,Low,High
DDP_XL,54,w/ CCS,Low,Low,Zero,High,Low,High,High,Low
DDP_XL,55,w/ CCS,Low,Low,Zero,High,Low,High,High,High
DDP_XL,56,w/ CCS,Low,Low,Zero,High,High,Low,Low,Low
DDP_XL,57,w/ CCS,Low,Low,Zero,High,High,Low,Low,High
DDP_XL,58,w/ CCS,Low,Low,Zero,High,High,Low,High,Low
DDP_XL,59,w/ CCS,Low,Low,Zero,High,High,Low,High,High
DDP_XL,60,w/ CCS,Low,Low,Zero,High,High,High,Low,Low
